fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
05/07/2021,10541,2216,9575,2053,0.210226734,0.214412533
06/07/2021,11632,2445,10186,2230,0.210196011,0.21892794
07/07/2021,11559,2686,10379,2486,0.232373043,0.239522112
08/07/2021,12955,2691,11552,2447,0.207719027,0.211824792
09/07/2021,12646,2708,11451,2488,0.214138858,0.217273601
10/07/2021,3911,836,3447,782,0.213756073,0.22686394
11/07/2021,3597,852,3194,760,0.236864053,0.237946149
12/07/2021,14559,3381,13033,3067,0.232227488,0.235325712
13/07/2021,16493,3519,14854,3247,0.213363245,0.218594318
14/07/2021,15781,3573,14100,3232,0.226411508,0.229219858
15/07/2021,16380,3447,14533,3134,0.21043956,0.215647148
16/07/2021,14729,3140,13193,2821,0.213184873,0.213825514
17/07/2021,5585,1124,4971,1023,0.201253357,0.205793603
18/07/2021,4872,1043,4147,927,0.21408046,0.223535086
19/07/2021,17552,4335,15574,3862,0.246980401,0.247977398
20/07/2021,18079,4320,16064,3898,0.238951269,0.242654382
21/07/2021,18945,4530,16861,4107,0.239113222,0.243579859
22/07/2021,19076,4337,16643,3794,0.227353743,0.227963708
23/07/2021,17462,3937,15382,3481,0.225461001,0.226303472
24/07/2021,6536,1685,5700,1451,0.257802938,0.254561404
25/07/2021,5994,1293,5194,1095,0.215715716,0.210820177
26/07/2021,17744,4558,15590,3937,0.256875564,0.252533675
27/07/2021,19196,4754,16804,4189,0.247655762,0.249285884
28/07/2021,19492,4538,17137,4000,0.232813462,0.233413083
29/07/2021,19699,4738,17349,4171,0.240519823,0.240417315
30/07/2021,18517,4860,16491,4303,0.262461522,0.260930204
31/07/2021,5186,1439,4661,1256,0.277477825,0.269470071
01/08/2021,5372,1051,4473,897,0.19564408,0.200536553
02/08/2021,17964,4426,15829,3849,0.246381652,0.243161286
03/08/2021,19834,5111,17585,4530,0.257688817,0.257605914
04/08/2021,19076,4893,16822,4259,0.256500315,0.253180359
05/08/2021,19524,4692,17188,4110,0.240319607,0.239120316
06/08/2021,17628,4343,15606,3763,0.246369412,0.241125208
07/08/2021,6507,1813,5738,1596,0.278623021,0.278145695
08/08/2021,5192,1221,4604,1080,0.235169492,0.234578627
09/08/2021,17270,4336,15106,3747,0.251071222,0.248047134
10/08/2021,20425,4826,18044,4245,0.23627907,0.235258258
11/08/2021,21567,5349,19068,4739,0.248017805,0.248531571
12/08/2021,21754,4536,19206,4025,0.208513377,0.209569926
13/08/2021,19863,4168,17548,3681,0.209837386,0.209767495
14/08/2021,6848,1728,6054,1544,0.252336449,0.255037991
15/08/2021,5428,931,4707,783,0.171518055,0.166347992
16/08/2021,16969,3294,14862,2871,0.194118687,0.193177231
17/08/2021,19220,4387,16789,3849,0.228251821,0.229257252
18/08/2021,22648,4571,19954,4108,0.201827976,0.205873509
19/08/2021,20851,3713,18335,3285,0.178072994,0.17916553
20/08/2021,19609,3614,17437,3199,0.184303126,0.183460458
21/08/2021,6585,1291,5689,1135,0.196051632,0.199507822
22/08/2021,167,38,147,35,0.22754491,0.238095238
